2023-01-04 15:46:28,580 [INFO    ] Start download, d04_text_station_5min_2022_02_10.txt.gz
2023-01-04 15:46:34,400 [INFO    ] Download completed
2023-01-04 15:46:39,402 [INFO    ] Start download, d04_text_station_5min_2022_02_11.txt.gz
2023-01-04 15:46:48,173 [INFO    ] Download completed
2023-01-04 15:46:53,175 [INFO    ] Start download, d04_text_station_5min_2022_02_12.txt.gz
2023-01-04 15:47:01,432 [INFO    ] Download completed
2023-01-04 15:47:06,434 [INFO    ] Start download, d04_text_station_5min_2022_02_13.txt.gz
2023-01-04 15:47:15,957 [INFO    ] Download completed
2023-01-04 15:47:20,959 [INFO    ] Start download, d04_text_station_5min_2022_02_14.txt.gz
2023-01-04 15:47:29,776 [INFO    ] Download completed
2023-01-04 15:47:34,777 [INFO    ] Start download, d04_text_station_5min_2022_02_15.txt.gz
2023-01-04 15:47:44,022 [INFO    ] Download completed
2023-01-04 15:47:49,024 [INFO    ] Start download, d04_text_station_5min_2022_02_16.txt.gz
2023-01-04 15:47:58,368 [INFO    ] Download completed
2023-01-04 15:48:03,369 [INFO    ] Start download, d04_text_station_5min_2022_02_17.txt.gz
2023-01-04 15:48:12,522 [INFO    ] Download completed
2023-01-04 15:48:17,524 [INFO    ] Start download, d04_text_station_5min_2022_02_18.txt.gz
2023-01-04 15:48:26,061 [INFO    ] Download completed
2023-01-04 15:48:31,062 [INFO    ] Start download, d04_text_station_5min_2022_02_19.txt.gz
2023-01-04 15:48:39,247 [INFO    ] Download completed
2023-01-04 15:48:44,248 [INFO    ] Start download, d04_text_station_5min_2022_02_20.txt.gz
2023-01-04 15:48:53,392 [INFO    ] Download completed
2023-01-04 15:48:58,394 [INFO    ] Start download, d04_text_station_5min_2022_02_21.txt.gz
2023-01-04 15:49:07,440 [INFO    ] Download completed
2023-01-04 15:49:12,441 [INFO    ] Start download, d04_text_station_5min_2022_02_22.txt.gz
2023-01-04 15:49:21,368 [INFO    ] Download completed
2023-01-04 15:49:26,370 [INFO    ] Start download, d04_text_station_5min_2022_02_23.txt.gz
2023-01-04 15:49:35,098 [INFO    ] Download completed
2023-01-04 15:49:40,100 [INFO    ] Start download, d04_text_station_5min_2022_02_24.txt.gz
2023-01-04 15:49:48,470 [INFO    ] Download completed
2023-01-04 15:49:53,473 [INFO    ] Start download, d04_text_station_5min_2022_02_25.txt.gz
2023-01-04 15:50:02,798 [INFO    ] Download completed
2023-01-04 15:50:07,800 [INFO    ] Start download, d04_text_station_5min_2022_02_26.txt.gz
2023-01-04 15:50:16,648 [INFO    ] Download completed
2023-01-04 15:50:21,650 [INFO    ] Start download, d04_text_station_5min_2022_02_27.txt.gz
2023-01-04 15:50:30,382 [INFO    ] Download completed
2023-01-04 15:50:35,384 [INFO    ] Start download, d04_text_station_5min_2022_02_28.txt.gz
2023-01-04 15:50:44,957 [INFO    ] Download completed
2023-01-04 15:50:49,959 [INFO    ] Start download, d04_text_station_5min_2022_03_01.txt.gz
2023-01-04 15:50:58,862 [INFO    ] Download completed
2023-01-04 15:51:03,864 [INFO    ] Start download, d04_text_station_5min_2022_03_02.txt.gz
2023-01-04 15:51:12,529 [INFO    ] Download completed
2023-01-04 15:51:17,531 [INFO    ] Start download, d04_text_station_5min_2022_03_03.txt.gz
2023-01-04 15:51:27,435 [INFO    ] Download completed
2023-01-04 15:51:32,437 [INFO    ] Start download, d04_text_station_5min_2022_03_04.txt.gz
2023-01-04 15:51:41,322 [INFO    ] Download completed
2023-01-04 15:51:46,323 [INFO    ] Start download, d04_text_station_5min_2022_03_05.txt.gz
2023-01-04 15:51:55,514 [INFO    ] Download completed
2023-01-04 15:52:00,516 [INFO    ] Start download, d04_text_station_5min_2022_03_06.txt.gz
2023-01-04 15:52:09,748 [INFO    ] Download completed
2023-01-04 15:52:14,749 [INFO    ] Start download, d04_text_station_5min_2022_03_07.txt.gz
2023-01-04 15:52:23,930 [INFO    ] Download completed
2023-01-04 15:52:28,931 [INFO    ] Start download, d04_text_station_5min_2022_03_08.txt.gz
2023-01-04 15:52:37,156 [INFO    ] Download completed
2023-01-04 15:52:42,157 [INFO    ] Start download, d04_text_station_5min_2022_03_09.txt.gz
2023-01-04 15:52:51,918 [INFO    ] Download completed
2023-01-04 15:52:56,920 [INFO    ] Start download, d04_text_station_5min_2022_03_10.txt.gz
2023-01-04 15:53:05,316 [INFO    ] Download completed
2023-01-04 15:53:10,318 [INFO    ] Start download, d04_text_station_5min_2022_03_11.txt.gz
2023-01-04 15:53:20,297 [INFO    ] Download completed
2023-01-04 15:53:25,299 [INFO    ] Start download, d04_text_station_5min_2022_03_12.txt.gz
2023-01-04 15:54:04,829 [INFO    ] Download completed
2023-01-04 15:54:09,830 [INFO    ] Start download, d04_text_station_5min_2022_03_13.txt.gz
2023-01-04 15:54:18,701 [INFO    ] Download completed
2023-01-04 15:54:23,703 [INFO    ] Start download, d04_text_station_5min_2022_03_14.txt.gz
2023-01-04 15:54:32,099 [INFO    ] Download completed
2023-01-04 15:54:37,101 [INFO    ] Start download, d04_text_station_5min_2022_03_15.txt.gz
2023-01-04 15:54:45,812 [INFO    ] Download completed
2023-01-04 15:54:50,813 [INFO    ] Start download, d04_text_station_5min_2022_03_16.txt.gz
2023-01-04 15:54:59,756 [INFO    ] Download completed
2023-01-04 15:55:04,757 [INFO    ] Start download, d04_text_station_5min_2022_03_17.txt.gz
2023-01-04 15:55:16,373 [INFO    ] Download completed
2023-01-04 15:55:21,375 [INFO    ] Start download, d04_text_station_5min_2022_03_18.txt.gz
2023-01-04 15:55:30,257 [INFO    ] Download completed
2023-01-04 15:55:35,258 [INFO    ] Start download, d04_text_station_5min_2022_03_19.txt.gz
2023-01-04 15:55:44,222 [INFO    ] Download completed
2023-01-04 15:55:49,223 [INFO    ] Start download, d04_text_station_5min_2022_03_20.txt.gz
2023-01-04 15:55:58,666 [INFO    ] Download completed
2023-01-04 15:56:03,668 [INFO    ] Start download, d04_text_station_5min_2022_03_21.txt.gz
2023-01-04 15:56:12,494 [INFO    ] Download completed
2023-01-04 15:56:17,496 [INFO    ] Start download, d04_text_station_5min_2022_03_22.txt.gz
2023-01-04 15:56:27,293 [INFO    ] Download completed
2023-01-04 15:56:32,295 [INFO    ] Start download, d04_text_station_5min_2022_03_23.txt.gz
2023-01-04 15:56:42,351 [INFO    ] Download completed
2023-01-04 15:56:47,353 [INFO    ] Start download, d04_text_station_5min_2022_03_24.txt.gz
2023-01-04 15:56:56,384 [INFO    ] Download completed
2023-01-04 15:57:01,385 [INFO    ] Start download, d04_text_station_5min_2022_03_25.txt.gz
2023-01-04 15:57:11,239 [INFO    ] Download completed
2023-01-04 15:57:16,241 [INFO    ] Start download, d04_text_station_5min_2022_03_26.txt.gz
2023-01-04 15:57:24,736 [INFO    ] Download completed
2023-01-04 15:57:29,738 [INFO    ] Start download, d04_text_station_5min_2022_03_27.txt.gz
2023-01-04 15:57:38,640 [INFO    ] Download completed
2023-01-04 15:57:43,641 [INFO    ] Start download, d04_text_station_5min_2022_03_28.txt.gz
2023-01-04 15:57:52,688 [INFO    ] Download completed
2023-01-04 15:57:57,690 [INFO    ] Start download, d04_text_station_5min_2022_03_29.txt.gz
2023-01-04 15:58:08,399 [INFO    ] Download completed
2023-01-04 15:58:13,401 [INFO    ] Start download, d04_text_station_5min_2022_03_30.txt.gz
2023-01-04 15:58:22,913 [INFO    ] Download completed
2023-01-04 15:58:27,915 [INFO    ] Start download, d04_text_station_5min_2022_03_31.txt.gz
2023-01-04 15:58:36,280 [INFO    ] Download completed
2023-01-04 15:58:41,282 [INFO    ] Start download, d04_text_station_5min_2022_04_01.txt.gz
2023-01-04 15:58:49,255 [INFO    ] Download completed
2023-01-04 15:58:54,257 [INFO    ] Start download, d04_text_station_5min_2022_04_02.txt.gz
2023-01-04 15:59:03,556 [INFO    ] Download completed
2023-01-04 15:59:08,557 [INFO    ] Start download, d04_text_station_5min_2022_04_03.txt.gz
2023-01-04 15:59:17,099 [INFO    ] Download completed
2023-01-04 15:59:22,100 [INFO    ] Start download, d04_text_station_5min_2022_04_04.txt.gz
2023-01-04 15:59:29,443 [INFO    ] Download completed
2023-01-04 15:59:34,444 [INFO    ] Start download, d04_text_station_5min_2022_04_05.txt.gz
2023-01-04 15:59:42,530 [INFO    ] Download completed
2023-01-04 15:59:47,532 [INFO    ] Start download, d04_text_station_5min_2022_04_06.txt.gz
2023-01-04 15:59:56,008 [INFO    ] Download completed
2023-01-04 16:00:01,009 [INFO    ] Start download, d04_text_station_5min_2022_04_07.txt.gz
2023-01-04 16:00:10,304 [INFO    ] Download completed
2023-01-04 16:00:15,306 [INFO    ] Start download, d04_text_station_5min_2022_04_08.txt.gz
2023-01-04 16:00:23,832 [INFO    ] Download completed
2023-01-04 16:00:28,833 [INFO    ] Start download, d04_text_station_5min_2022_04_09.txt.gz
2023-01-04 16:00:37,998 [INFO    ] Download completed
2023-01-04 16:00:42,999 [INFO    ] Start download, d04_text_station_5min_2022_04_10.txt.gz
2023-01-04 16:00:52,971 [INFO    ] Download completed
2023-01-04 16:00:57,973 [INFO    ] Start download, d04_text_station_5min_2022_04_11.txt.gz
2023-01-04 16:01:06,218 [INFO    ] Download completed
2023-01-04 16:01:11,219 [INFO    ] Start download, d04_text_station_5min_2022_04_12.txt.gz
2023-01-04 16:01:20,538 [INFO    ] Download completed
2023-01-04 16:01:25,540 [INFO    ] Start download, d04_text_station_5min_2022_04_13.txt.gz
2023-01-04 16:01:33,948 [INFO    ] Download completed
2023-01-04 16:01:38,950 [INFO    ] Start download, d04_text_station_5min_2022_04_14.txt.gz
2023-01-04 16:01:47,641 [INFO    ] Download completed
2023-01-04 16:01:52,642 [INFO    ] Start download, d04_text_station_5min_2022_04_15.txt.gz
2023-01-04 16:02:01,432 [INFO    ] Download completed
2023-01-04 16:02:06,434 [INFO    ] Start download, d04_text_station_5min_2022_04_16.txt.gz
2023-01-04 16:02:14,901 [INFO    ] Download completed
2023-01-04 16:02:19,902 [INFO    ] Start download, d04_text_station_5min_2022_04_17.txt.gz
2023-01-04 16:02:27,881 [INFO    ] Download completed
2023-01-04 16:02:32,882 [INFO    ] Start download, d04_text_station_5min_2022_04_18.txt.gz
2023-01-04 16:02:40,875 [INFO    ] Download completed
2023-01-04 16:02:45,876 [INFO    ] Start download, d04_text_station_5min_2022_04_19.txt.gz
2023-01-04 16:02:54,156 [INFO    ] Download completed
2023-01-04 16:02:59,158 [INFO    ] Start download, d04_text_station_5min_2022_04_20.txt.gz
2023-01-04 16:03:07,722 [INFO    ] Download completed
2023-01-04 16:03:12,724 [INFO    ] Start download, d04_text_station_5min_2022_04_21.txt.gz
2023-01-04 16:03:20,562 [INFO    ] Download completed
2023-01-04 16:03:25,563 [INFO    ] Start download, d04_text_station_5min_2022_04_22.txt.gz
2023-01-04 16:03:34,426 [INFO    ] Download completed
2023-01-04 16:03:39,427 [INFO    ] Start download, d04_text_station_5min_2022_04_23.txt.gz
2023-01-04 16:03:47,655 [INFO    ] Download completed
2023-01-04 16:03:52,657 [INFO    ] Start download, d04_text_station_5min_2022_04_24.txt.gz
2023-01-04 16:04:00,741 [INFO    ] Download completed
2023-01-04 16:04:05,742 [INFO    ] Start download, d04_text_station_5min_2022_04_25.txt.gz
2023-01-04 16:04:15,351 [INFO    ] Download completed
2023-01-04 16:04:20,353 [INFO    ] Start download, d04_text_station_5min_2022_04_26.txt.gz
2023-01-04 16:04:28,469 [INFO    ] Download completed
2023-01-04 16:04:33,471 [INFO    ] Start download, d04_text_station_5min_2022_04_27.txt.gz
2023-01-04 16:04:41,923 [INFO    ] Download completed
2023-01-04 16:04:46,925 [INFO    ] Start download, d04_text_station_5min_2022_04_28.txt.gz
2023-01-04 16:04:55,187 [INFO    ] Download completed
2023-01-04 16:05:00,188 [INFO    ] Start download, d04_text_station_5min_2022_04_29.txt.gz
2023-01-04 16:05:08,566 [INFO    ] Download completed
2023-01-04 16:05:13,567 [INFO    ] Start download, d04_text_station_5min_2022_04_30.txt.gz
2023-01-04 16:05:21,798 [INFO    ] Download completed
2023-01-04 16:05:26,800 [INFO    ] Start download, d04_text_station_5min_2022_05_01.txt.gz
2023-01-04 16:05:35,117 [INFO    ] Download completed
2023-01-04 16:05:40,119 [INFO    ] Start download, d04_text_station_5min_2022_05_02.txt.gz
2023-01-04 16:05:49,139 [INFO    ] Download completed
2023-01-04 16:05:54,141 [INFO    ] Start download, d04_text_station_5min_2022_05_03.txt.gz
2023-01-04 16:06:02,554 [INFO    ] Download completed
2023-01-04 16:06:07,556 [INFO    ] Start download, d04_text_station_5min_2022_05_04.txt.gz
2023-01-04 16:06:16,071 [INFO    ] Download completed
2023-01-04 16:06:21,072 [INFO    ] Start download, d04_text_station_5min_2022_05_05.txt.gz
2023-01-04 16:06:28,880 [INFO    ] Download completed
